_ID,NAME,GROUP,DAY/HOUR/ROOM1,DAY/HOUR/ROOM2,DAY/HOUR/ROOM3,PROFESSOR1,PROFESSOR_EMAIL1,PROFESSOR2,PROFESSOR_EMAIL2
72,FISICA CUANTICA,A-I,LUNES/15-17/F1,MIERCOLES/15-17/F1,JUEVES/15-17/LAB. DE FISICA EDIF. G,JOSE LUIS LUCIO MARTINEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,MIGUEL ANGEL HONORATO COLIN,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
73,FISICA CUANTICA,A-II,LUNES/15-17/F1,MIERCOLES/15-17/F1,MARTES/15-17/LAB DE FISICA EDIF. G,JOSE LUIS LUCIO MARTINEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,MIGUEL ANGEL HONORATO COLIN,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
74,FISICA DE LASERES,A,LUNES/17-19/F9,MIERCOLES/17-19/F9,,SERGIO AUGUSTO ROMERO SERVIN,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
75,FISICA DE RADIACIONES,A,LUNES/15-17/C2,MIERCOLES/15-17/C2,,KENIA MADRAZO DE LA ROSA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
76,FISICA GENERAL,A-III,MARTES/10-12/AUDITORIO G,VIERNES/8-10/ AUDITORIO G,LUNES/10-12/LAB. DE FISICA EDIF. C,GEMMA ELIZABETH PEREZ CUELLAR,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,JOSE SOCORRO GARCIA DIAZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
77,FISICA GENERAL,A-IV,MARTES/10-12/AUDITORIO G,VIERNES/8-10/ AUDITORIO G,LUNES/8-10/LAB. DE FISICA EDIF. G,GEMMA ELIZABETH PEREZ CUELLAR,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,JOSE MIGUEL RAMOS MORENO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
78,FISICA GENERAL,B-I,JUEVES/12-14/AUDITORIO EDIF. G,VIERNES/8-10/C2,MARTES/8-10/LAB. DE FISICA EDIF. G,ARGELIA BERNAL BAUTISTA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,JOSE MIGUEL RAMOS MORENO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
79,FISICA GENERAL,B-II,JUEVES/12-14/AUDITORIO EDIF. G,VIERNES/8-10/C2,MARTES/8-10/LAB. DE FISICA EDIF. C,ARGELIA BERNAL BAUTISTA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,ANGELICA HERNANDEZ RAYAS,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
80,FISICA RELATIVISTA,A,MIERCOLES/10-12/F2,VIERNES/10-12/F2,,OSCAR GERARDO LOAIZA BRITO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
81,FISICA RELATIVISTA,B,LUNES/8-10/ G1,MIERCOLES/8-10/F8,,GUSTAVO NIZ QUEVEDO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
82,"FLUIDOS, ONDAS Y TEMPERATURA",A-II,MIERCOLES/12-14/F9,VIERNES/8-10/F9,JUEVES/10-12/LAB. DE FISICA EDIF. G,GEORFREY HUMBERTO ISRAEL MAURY CUNA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,JOSUE ADIN MINGUELA GALLARDO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
83,"FLUIDOS, ONDAS Y TEMPERATURA",A-III,MIERCOLES/12-14/F9,VIERNES/8-10/F9,JUEVES/10-12/LAB. DE FISICA EDIF. C,GEORFREY HUMBERTO ISRAEL MAURY CUNA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,NATALIA RINCON LONDONO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
84,"FLUIDOS, ONDAS Y TEMPERATURA",B-I,MARTES/11-13/F9,VIERNES/12-14/F9,MIERCOLES/8-10/LAB. DE FISICA EDIF. G,ANA LAURA BENAVIDES OBREGON,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,NATALIA RINCON LONDONO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
85,"FLUIDOS, ONDAS Y TEMPERATURA",B-III,MARTES/11-13/F9,VIERNES/12-14/F9,JUEVES/10-12/LAB. DE FISICA EDIF. C,ANA LAURA BENAVIDES OBREGON,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,NATALIA RINCON LONDONO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
86,"FLUIDOS, ONDAS Y TEMPERATURA",C-IV,MIERCOLES/12-14/F6,JUEVES/12-14/F6,MARTES/12-14/LAB. DE FISICA EDIF. G,ANA LAURA BENAVIDES OBREGON,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,JOSUE ADIN MINGUELA GALLARDO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
87,"FLUIDOS, ONDAS Y TEMPERATURA",C-VI,MIERCOLES/12-14/F6,JUEVES/12-14/F6,LUNES/8-10/LAB. DE FISICA EDIF. C,ANA LAURA BENAVIDES OBREGON,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,NATALIA RINCON LONDONO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
88,"FLUIDOS, ONDAS Y TEMPERATURA",D-V,MARTES/12-14/F6,VIERNES/12-14/F6,JUEVES/12-14/ LAB. DE FISICA EDIF. G,MODESTO ANTONIO SOSA AQUINO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,NATALIA RINCON LONDONO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
89,"FLUIDOS, ONDAS Y TEMPERATURA",D-VI,MARTES/12-14/F6,VIERNES/12-14/F6,LUNES/8-10/LAB. DE FISICA EDIF. C,MODESTO ANTONIO SOSA AQUINO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,NATALIA RINCON LONDONO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
90,FUNCIONES ESPECIALES,A,MARTES/8-10/G1,VIERNES/8-10/G1,,DAVID Y. G. DELEPINE,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
91,FUNDAMENTOS DE PROCESAMIENTO DIGITAL DE IMAGENES,A,MARTES/17-19/ CENTRO DE COMPUTO 2,VIERNES/17-19/CENTRO DE COMPUTO 2,,ARTURO GONZALEZ VEGA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
92,FUNDAMENTOS DE PROCESAMIENTO DIGITAL DE SENALES,A,MARTES/8-10/CENTRO DE COMPUTO 2,JUEVES/8-10/CENTRO DE COMPUTO 2,,ARTURO GONZALEZ VEGA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
93,FUNDAMENTOS DE PROCESAMIENTO DIGITAL DE SENALES,B,LUNES/17-19/CENTRO DE COMPUTO 1,MIERCOLES/17-19/CENTRO DE COMPUTO 1,,HUETZIN AARON PEREZ OLIVAS,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
94,FUNDAMENTOS FILOSOFICO-EPISTEMOLOGICOS,A,VIERNES/15-18/G1,,,MA. DEL CARMEN VARELA CHAVEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
95,GEOMETRIA DIFERENCIAL,A,LUNES/17-19/F8,MIERCOLES/17-19/F8,,OSCAR GERARDO LOAIZA BRITO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
96,HERRAMIENTAS INFORMATICAS Y GESTION DE LA INFORMACION,A,LUNES/12-15/ CENTRO DE COMPUTO 1,,,ALAN LOPEZ MARTINEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
97,HERRAMIENTAS INFORMATICAS Y GESTION DE LA INFORMACION,B,LUNES/8-11/ CENTRO DE COMPUTO 2,,,DELIA IRAZU HERNANDEZ FARIAS,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
98,INGENIERIA AMBIENTAL DEL AGUA Y SUELOS,A,LUNES/17-19/F2,MIERCOLES/17-19/F2,,EDGAR VAZQUEZ NUNEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
99,INGENIERIA CLINICA,A,MARTES/17-19/LAB. DE ELECTRONICA EDIF. G,MIERCOLES/17-19/LAB. DE ELECTRONICA EDIF. G,JUEVES/17-19/LAB. DE ELECTRONICA EDIF. G,JOSE GONZALEZ CRUZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
100,INGENIERIA DE CALOR,A,LUNES/17-19/F1,MIERCOLES/17-19/F1,,JOSE DE JESUS IBARRA SANCHEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
101,INGENIERIA DE CONTROL,A,MIERCOLES/12-14/LAB. DE ELECTRONICA EDIF. G,VIERNES/8-12/LAB. DE ELECTRONICA EDIF. G,,CARLOS VILLASENOR MORA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
102,INGENIERIA DE CONTROL DE PROCESOS,A,MARTES/12-14/AUDITORIO EDIF. B,"JUEVES/10-12/LAB. DE ING. QUIMICA, EDIF. G",,CHRISTIAN FELIPE RODRIGUEZ ROBLES,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
103,INGENIERIA DE FLUIDOS,A,LUNES/10-12/G1,MIERCOLES/12-14/C3,,BIRZABITH MENDOZA NOVELO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
104,INGENIERIA DE PROYECTOS,A,LUNES/15-17/CENTRO DE COMPUTO 2,MIERCOLES/15-18/CENTRO DE COMPUTO 2,,IRAIS AMARANTA QUINTERO ORTEGA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
105,INGENIERIA DE REACTORES HETEROGENEOS,A,MARTES/15-17/F9,JUEVES/15-17/F9,,JOSE DE JESUS IBARRA SANCHEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
106,INGENIERIA DE REACTORES HOMOGENEOS,A,LUNES/8-10/F2,JUEVES/8-10/LAB. DE ELECTRONICA EDIF. D (AULA),,CARLOS EDUARDO MOLINA GUERRERO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
107,INGENIERIA ECONOMICA,A,VIERNES/12-15/ C2,,,JUAN FRANCISCO RAYAS ROJAS,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
108,INGENIERIA EN REHABILITACION,A,MARTES/14-17/LAB. DE ELECTRONICA EDIF. G,JUEVES/14-17/LAB. DE ELECTRONICA EDIF. G,,ARTURO VEGA GONZALEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,SAMUEL ALEJANDRO JUAREZ SANCHEZ,"THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT., THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT."
109,INGLES I,A,LUNES/14-15:30/F7,MIERCOLES/14-15:30/F7,,DENIA NAVARRO VILLAFANA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
110,INGLES I,B,VIERNES/15-18/C2,,,DENIA NAVARRO VILLAFANA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
111,INGLES II,A,MARTES/14-16/F7,JUEVES/14-15/F7,,JOSE CRUZ HERNANDEZ PONCE,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
112,INSTRUMENTACION MEDICA,A,MIERCOLES/14-17/LAB. DE ELECTRONICA EDIF. G,VIERNES/12-15/LAB. DE ELECTRONIA EDIF. G,,MIGUEL ANGEL NOGUERON PEREZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
113,INTRODUCCION A LA METODOLOGIA DE LA INVESTIGACION,A,MIERCOLES/16-19/F6,,,RUBEN ALEJANDRO AGUEDA ALTUZAR,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
114,INTRODUCCION A LA METODOLOGIA DE LA INVESTIGACION,B,LUNES/10-12/SALA DE JUNTAS EDIF. D,JUEVES/11-12/SALA DE JUNTAS EDIF. D,,ARTURO VEGA GONZALEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
115,INVESTIGACION DE OPERACIONES,A,MARTES/12-14/C2,VIERNES/12-14/G1,,ALAN LOPEZ MARTINEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
116,LABORATORIO DE ASTRONOMIA,A,LUNES/16-20/,,,KLAUS PETER SCHRODER,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,JUAN PABLO TORRES PAPAQUI,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
117,LABORATORIO DE ASTRONOMIA,B,LUNES/16-20/,,,JUAN PABLO TORRES PAPAQUI,,,
118,LABORATORIO DE FENOMENOS DE TRANSPORTE,A,SABADO/09-13/LAB. DE IQS EDIF. G,,,MARIO ROSALES RETANA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
119,LABORATORIO DE FENOMENOS DE TRANSPORTE,B,VIERNES/10-14/LAB. DE IQS EDIF. G,,,OMAR MARTINEZ ALVAREZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
120,LABORATORIO DE PROCESOS DE SEPARACION,A,MIERCOLES/12-16/LAB. DE IQS EDIF. G,,,SARAHI GARCIA CARVAJAL,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
121,LABORATORIO DE REACTORES,A,MARTES/12-16/LAB. DE IQS EDIF. G,,,IRAIS AMARANTA QUINTERO ORTEGA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
122,LABORATORIO DE SIMULACION DE PROCESOS,A,MIERCOLES/10-12/CENTRO DE COMPUTO 2,SABADO/13-14/CENTRO DE COMPUTO 1,,JOSE DE JESUS IBARRA SANCHEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
123,MATEMATICAS SUPERIORES,A,LUNES/12-14/AUDITORIO G,JUEVES/10-12/AUDITORIO G,VIERNES/12-14/AUDITORIO G,OWEN PAVEL FERNANDEZ PIEDRA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
124,MATEMATICAS SUPERIORES,B,LUNES/8-10/ AUDITORIO EDIF. G,MARTES/8-10/F5,JUEVES/8-10/F2,OSCAR MIGUEL SABIDO MORENO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
125,MECANICA ANALITICA,A,LUNES/12-14/C2,MIERCOLES/12-14/F8,,JUAN BARRANCO MONARCA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
126,MECANICA CLASICA,A-I,MIERCOLES/8-10/ G1,VIERNES/8-10/F2,LUNES/12-14/LAB. DE FISICA EDIF. G,ERICK SARMIENTO GOMEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
127,MECANICA CLASICA,A-VI,MIERCOLES/8-10/ G1,VIERNES/8-10/F2,LUNES/12-14/LAB. DE FISICA EDIF. C,ERICK SARMIENTO GOMEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,BASILIA QUISPE HUILLCARA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
128,MECANICA CLASICA,B-II,MARTES/12-14/F2,JUEVES/12-14/F2,MIERCOLES/12-14/LAB. DE FISICA EDIF. G,ALBERTO DIEZ TEJEDOR,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,NATALIA RINCON LONDONO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
129,MECANICA CLASICA,B-VII,MARTES/12-14/F2,JUEVES/12-14/F2,MIERCOLES/12-14/LAB. DE FISICA EDIF C,ALBERTO DIEZ TEJEDOR,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,BASILIA QUISPE HUILLCARA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
130,MECANICA CLASICA,C-IV,MIERCOLES/10-12/F9,VIERNES/10-12/F1,VIERNES/12-14/LAB. DE FISICA EDIF. G,GUSTAVO GUTIERREZ CANO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,ERICK SARMIENTO GOMEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
131,MECANICA CLASICA,C-VIII,MIERCOLES/10-12/F9,VIERNES/10-12/F1,VIERNES/12-14/LAB. DE FISICA EDIF.C,GUSTAVO GUTIERREZ CANO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,BASILIA QUISPE HUILLCARA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
132,MECANICA CLASICA,D-III,MARTES/12-14/F7,VIERNES/15-17/F7,VIERNES/10-12/LAB. DE FISICA EDIF. G,GEMMA ELIZABETH PEREZ CUELLAR,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,JOSE SOCORRO GARCIA DIAZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
133,MECANICA CLASICA,D-IX,MARTES/12-14/F7,VIERNES/15-17/F7,VIERNES/10-12/LAB. DE FISICA EDIF. C,GEMMA ELIZABETH PEREZ CUELLAR,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,BASILIA QUISPE HUILLCARA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
134,MECANICA CLASICA,E-V,MARTES/17-19/G1,JUEVES/17-19/G1,VIERNES/15-17/LAB. DE FISICA EDIF. G,JOSE DE JESUS BERNAL ALVARADO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,NATALIA RINCON LONDONO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
135,MECANICA CUANTICA,A,LUNES/8-10/F6,MIERCOLES/8-10/F6,,MARCO ANTONIO REYES SANTOS,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
136,MECANICA CUANTICA,B,MARTES/10-12/G1,JUEVES/10-12/G1,,JOSE LUIS LUCIO MARTINEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
137,MECANICA DE MEDIOS CONTINUOS,A-I,LUNES/8-10/AUDITORIO DEL EDIF. B,MARTES/10-12/LAB. DE FISICA EDIF. G,MIERCOLES/8-10/AUDITORIO DEL EDIF. B,RAMON CASTANEDA PRIEGO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,NATALIA RINCON LONDONO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
138,MECANICA DE MEDIOS CONTINUOS,A-II,LUNES/8-10/AUDITORIO DEL EDIF. B,MARTES/13-15/LAB. DE FISICA EDIF. C,MIERCOLES/8-10/AUDITORIO DEL EDIF. B,RAMON CASTANEDA PRIEGO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,NATALIA RINCON LONDONO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
139,MECANICA ESTADISTICA,A,LUNES/8-10/F7,MIERCOLES/8-10/F7,,ALEJANDRO GIL VILLEGAS MONTIEL,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
140,MECANICA ESTADISTICA,B,LUNES/10-12/F6,JUEVES/8-10/F6,,FRANCISCO ALARCON OSEGUERA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
141,MEDICION E INSTRUMENTACION,A,LUNES/8-12/LAB. DE ELECTRONICA EDIF. G,MIERCOLES/10-12/ LAB. DE ELECTRONICA EDIF. G,,JOSE MARCO BALLEZA ORDAZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
142,METODOS DE PREPARACION DE NANOMATERIALES,A,JUEVES/17-19/SEDE SAN CARLOS,VIERNES/15-17/SEDE SAN CARLOS,,CHRISTIAN GOMEZ SOLIS,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
143,METODOS NUMERICOS,A,MARTES/10-12/CENTRO DE COMPUTO 1,MIERCOLES/10-12/CENTRO DE COMPUTO 1,VIERNES/10-12/ CENTRO DE COMPUTO 1,KARLA ADRIANA ALAMO MARTINEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
144,METODOS NUMERICOS,B,MARTES/15-17/CENTRO DE COMPUTO 2,JUEVES/15-17/CENTRO DE COMPUTO 2,VIERNES/15-17/CENTRO DE COMPUTO 2,KARLA ADRIANA ALAMO MARTINEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
145,METODOS NUMERICOS,C,LUNES/15-17/ CENTRO DE COMPUTO 1,MIERCOLES/15-17/CENTRO DE COMPUTO 1,VIERNES/15-17/CENTRO DE COMPUTO 1,HUETZIN AARON PEREZ OLIVAS,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
