UNIDAD DE APRENDIZAJE,GRUPO,DÍA/HORA/AULA,DÍA/HORA/AULA,DÍA/HORA/AULA,PROFESOR,CORREO PROFESOR,PROFESOR2,CORREO PROFESOR 2
INGENIERÍA DE FLUIDOS,A,LUNES/10-12/G1,MIÉRCOLES/12-14/C3, ,BIRZABITH MENDOZA NOVELO,This email address is being protected from spambots. You need JavaScript enabled to view it. , , 
INGENIERÍA DE PROYECTOS,A,LUNES/15-17/CENTRO DE CÓMPUTO 2,MIÉRCOLES/15-18/CENTRO DE CÓMPUTO 2, ,IRAIS AMARANTA QUINTERO ORTEGA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
INGENIERÍA DE REACTORES HETEROGÉNEOS,A,MARTES/15-17/F9,JUEVES/15-17/F9, ,JOSÉ DE JESÚS IBARRA SÁNCHEZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
INGENIERÍA DE REACTORES HOMOGÉNEOS,A,LUNES/8-10/F2,JUEVES/8-10/LAB. DE ELECTRÓNICA EDIF. D (aula), ,CARLOS EDUARDO MOLINA GUERRERO,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
INGENIERÍA ECONÓMICA,A,VIERNES/12-15/ C2, , ,JUAN FRANCISCO RAYAS ROJAS,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
INGENIERÍA EN REHABILITACIÓN,A,MARTES/14-17/LAB. DE ELECTRÓNICA EDIF. G,JUEVES/14-17/LAB. DE ELECTRÓNICA EDIF. G, ,ARTURO VEGA GONZÁLEZ,This email address is being protected from spambots. You need JavaScript enabled to view it.,SAMUEL ALEJANDRO JUÁREZ SÁNCHEZ,"This email address is being protected from spambots. You need JavaScript enabled to view it., This email address is being protected from spambots. You need JavaScript enabled to view it."
INGLÉS I,A,LUNES/14-15:30/F7,MIÉRCOLES/14-15:30/F7, ,DENIA NAVARRO VILLAFAÑA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
INGLÉS I,B,VIERNES/15-18/C2, , ,DENIA NAVARRO VILLAFAÑA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
INGLÉS II,A,MARTES/14-16/F7,JUEVES/14-15/F7, ,JOSÉ CRUZ HERNÁNDEZ PONCE,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
INSTRUMENTACIÓN MÉDICA,A,MIÉRCOLES/14-17/LAB. DE ELECTRÓNICA EDIF. G,VIERNES/12-15/LAB. DE ELECTRÓNIA EDIF. G, ,MIGUEL ÁNGEL NOGUERÓN PÉREZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
INTRODUCCIÓN A LA METODOLOGÍA DE LA INVESTIGACIÓN,A,MIÉRCOLES/16-19/F6, , ,RUBÉN ALEJANDRO ÁGUEDA ALTÚZAR,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
INTRODUCCIÓN A LA METODOLOGÍA DE LA INVESTIGACIÓN,B,LUNES/10-12/SALA DE JUNTAS EDIF. D,JUEVES/11-12/SALA DE JUNTAS EDIF. D, ,ARTURO VEGA GONZÁLEZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
INVESTIGACIÓN DE OPERACIONES,A,MARTES/12-14/C2,VIERNES/12-14/G1, ,ALAN LÓPEZ MARTÍNEZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
LABORATORIO DE ASTRONOMÍA,A,LUNES/16-20/, , ,KLAUS PETER SCHRÖDER,This email address is being protected from spambots. You need JavaScript enabled to view it.,JUAN PABLO TORRES PAPAQUI,This email address is being protected from spambots. You need JavaScript enabled to view it.
LABORATORIO DE ASTRONOMÍA,B,LUNES/16-20/, , ,JUAN PABLO TORRES PAPAQUI, , , 
LABORATORIO DE FENÓMENOS DE TRANSPORTE,A,SÁBADO/09-13/LAB. DE IQS EDIF. G, , ,MARIO ROSALES RETANA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
LABORATORIO DE FENÓMENOS DE TRANSPORTE,B,VIERNES/10-14/LAB. DE IQS EDIF. G, , ,OMAR MARTÍNEZ ÁLVAREZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
LABORATORIO DE PROCESOS DE SEPARACIÓN,A,MIÉRCOLES/12-16/LAB. DE IQS EDIF. G, , ,SARAHÍ GARCÍA CARVAJAL,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
LABORATORIO DE REACTORES,A,MARTES/12-16/LAB. DE IQS EDIF. G, , ,IRAIS AMARANTA QUINTERO ORTEGA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
LABORATORIO DE SIMULACIÓN DE PROCESOS,A,MIÉRCOLES/10-12/CENTRO DE CÓMPUTO 2,SÁBADO/13-14/CENTRO DE CÓMPUTO 1, ,JOSÉ DE JESÚS IBARRA SÁNCHEZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
MATEMÁTICAS SUPERIORES,A,LUNES/12-14/AUDITORIO G,JUEVES/10-12/AUDITORIO G,VIERNES/12-14/AUDITORIO G,OWEN PAVEL FERNÁNDEZ PIEDRA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
MATEMÁTICAS SUPERIORES,B,LUNES/8-10/ AUDITORIO EDIF. G,MARTES/8-10/F5,JUEVES/8-10/F2,OSCAR MIGUEL SABIDO MORENO,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
MECÁNICA ANALÍTICA,A,LUNES/12-14/C2,MIÉRCOLES/12-14/F8, ,JUAN BARRANCO MONARCA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
MECÁNICA CLÁSICA,A-I,MIÉRCOLES/8-10/ G1,VIERNES/8-10/F2,LUNES/12-14/LAB. DE FÍSICA EDIF. G,ÉRICK SARMIENTO GÓMEZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
MECÁNICA CLÁSICA,A-VI,MIÉRCOLES/8-10/ G1,VIERNES/8-10/F2,LUNES/12-14/LAB. DE FÍSICA EDIF. C,ÉRICK SARMIENTO GÓMEZ,This email address is being protected from spambots. You need JavaScript enabled to view it.,BASILIA QUISPE HUILLCARA,This email address is being protected from spambots. You need JavaScript enabled to view it.
MECÁNICA CLÁSICA,B-II,MARTES/12-14/F2,JUEVES/12-14/F2,MIÉRCOLES/12-14/LAB. DE FÍSICA EDIF. G,ALBERTO DIEZ TEJEDOR,This email address is being protected from spambots. You need JavaScript enabled to view it.,NATALIA RINCÓN LONDOÑO,This email address is being protected from spambots. You need JavaScript enabled to view it.
MECÁNICA CLÁSICA,B-VII,MARTES/12-14/F2,JUEVES/12-14/F2,MIÉRCOLES/12-14/LAB. DE FÍSICA EDIF C,ALBERTO DIEZ TEJEDOR,This email address is being protected from spambots. You need JavaScript enabled to view it.,BASILIA QUISPE HUILLCARA,This email address is being protected from spambots. You need JavaScript enabled to view it.
MECÁNICA CLÁSICA,C-IV,MIÉRCOLES/10-12/F9,VIERNES/10-12/F1,VIERNES/12-14/LAB. DE FÍSICA EDIF. G,GUSTAVO GUTIÉRREZ CANO,This email address is being protected from spambots. You need JavaScript enabled to view it.,ÉRICK SARMIENTO GÓMEZ,This email address is being protected from spambots. You need JavaScript enabled to view it.
MECÁNICA CLÁSICA,C-VIII,MIÉRCOLES/10-12/F9,VIERNES/10-12/F1,VIERNES/12-14/LAB. DE FÍSICA EDIF.C,GUSTAVO GUTIÉRREZ CANO,This email address is being protected from spambots. You need JavaScript enabled to view it.,BASILIA QUISPE HUILLCARA,This email address is being protected from spambots. You need JavaScript enabled to view it.
MECÁNICA CLÁSICA,D-III,MARTES/12-14/F7,VIERNES/15-17/F7,VIERNES/10-12/LAB. DE FÍSICA EDIF. G,GEMMA ELIZABETH PÉREZ CUÉLLAR,"
This email address is being protected from spambots. You need JavaScript enabled to view it.
",JOSÉ SOCORRO GARCÍA DÍAZ,This email address is being protected from spambots. You need JavaScript enabled to view it.
MECÁNICA CLÁSICA,D-IX,MARTES/12-14/F7,VIERNES/15-17/F7,VIERNES/10-12/LAB. DE FÍSICA EDIF. C,GEMMA ELIZABETH PÉREZ CUÉLLAR,This email address is being protected from spambots. You need JavaScript enabled to view it.,BASILIA QUISPE HUILLCARA,This email address is being protected from spambots. You need JavaScript enabled to view it.
MECÁNICA CLÁSICA,E-V,MARTES/17-19/G1,JUEVES/17-19/G1,VIERNES/15-17/LAB. DE FÍSICA EDIF. G,JOSÉ DE JESÚS BERNAL ALVARADO,This email address is being protected from spambots. You need JavaScript enabled to view it.,NATALIA RINCÓN LONDOÑO,This email address is being protected from spambots. You need JavaScript enabled to view it.
MECÁNICA CUÁNTICA,A,LUNES/8-10/F6,MIÉRCOLES/8-10/F6, ,MARCO ANTONIO REYES SANTOS,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
MECÁNICA CUÁNTICA,B,MARTES/10-12/G1,JUEVES/10-12/G1, ,JOSÉ LUIS LUCIO MARTÍNEZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
MECÁNICA DE MEDIOS CONTINUOS,A-I,LUNES/8-10/AUDITORIO DEL EDIF. B,MARTES/10-12/LAB. DE FÍSICA EDIF. G,MIÉRCOLES/8-10/AUDITORIO DEL EDIF. B,RAMÓN CASTAÑEDA PRIEGO,This email address is being protected from spambots. You need JavaScript enabled to view it.,NATALIA RINCÓN LONDOÑO,This email address is being protected from spambots. You need JavaScript enabled to view it.
MECÁNICA DE MEDIOS CONTINUOS,A-II,LUNES/8-10/AUDITORIO DEL EDIF. B,MARTES/13-15/LAB. DE FÍSICA EDIF. C,MIÉRCOLES/8-10/AUDITORIO DEL EDIF. B,RAMÓN CASTAÑEDA PRIEGO,This email address is being protected from spambots. You need JavaScript enabled to view it.,NATALIA RINCÓN LONDOÑO,This email address is being protected from spambots. You need JavaScript enabled to view it.
MECÁNICA ESTADÍSTICA,A,LUNES/8-10/F7,MIÉRCOLES/8-10/F7, ,ALEJANDRO GIL VILLEGAS MONTIEL,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
MECÁNICA ESTADÍSTICA,B,LUNES/10-12/F6,JUEVES/8-10/F6, ,FRANCISCO ALARCÓN OSEGUERA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
MEDICIÓN E INSTRUMENTACIÓN,A,LUNES/8-12/LAB. DE ELECTRÓNICA EDIF. G,MIÉRCOLES/10-12/ LAB. DE ELECTRÓNICA EDIF. G, ,JOSÉ MARCO BALLEZA ORDAZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
MÉTODOS DE PREPARACIÓN DE NANOMATERIALES,A,JUEVES/17-19/SEDE SAN CARLOS,VIERNES/15-17/SEDE SAN CARLOS, ,CHRISTIAN GÓMEZ SOLÍS,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
MÉTODOS NUMÉRICOS,A,MARTES/10-12/CENTRO DE CÓMPUTO 1,MIÉRCOLES/10-12/CENTRO DE CÓMPUTO 1,VIERNES/10-12/ CENTRO DE CÓMPUTO 1,KARLA ADRIANA ÁLAMO MARTÍNEZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
MÉTODOS NUMÉRICOS,B,MARTES/15-17/CENTRO DE CÓMPUTO 2,JUEVES/15-17/CENTRO DE CÓMPUTO 2,VIERNES/15-17/CENTRO DE CÓMPUTO 2,KARLA ADRIANA ÁLAMO MARTÍNEZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
MÉTODOS NUMÉRICOS,C,LUNES/15-17/ CENTRO DE CÓMPUTO 1,MIÉRCOLES/15-17/CENTRO DE CÓMPUTO 1,VIERNES/15-17/CENTRO DE CÓMPUTO 1,HUETZIN AARÓN PÉREZ OLIVAS,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
MODELO ESTÁNDAR DE LAS PARTÍCULAS FUNDAMENTALES,A,MARTES/17-19/F8,JUEVES/17-19/F8, ,MAURO NAPSUCIALE MENDIVIL,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
NEUROFISIOLOGÍA,A,LUNES/10-12/LAB. DE BIOLOGÍA EDIF. G,MIÉRCOLES/10-12/LAB. DE BIOLOGÍA EDIF. G,JUEVES/10-12/LAB. DE BIOLOGÍA EDIF. G,VÍCTOR HUGO HERNÁNDEZ GONZÁLEZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
ÓPTICA,A-I,LUNES/15-17/F9,MIÉRCOLES/15-17/F9,JUEVES/8-10/LAB. DE FÍSICA EDIF. C,RIGOBERTO CASTRO BELTRÁN,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
ÓPTICA CUÁNTICA,A,LUNES/15-17/C3,JUEVES/15-17/C2, ,CARLOS HERMAN WIECHERS MEDINA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
ÓPTICA NO-LINEAL,A,MARTES/17-19/C3,JUEVES/17-19/C3, ,LORENA BERENICE VELÁZQUEZ IBARRA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
OPTIMIZACIÓN Y SIMULACIÓN DE PROCESOS,A,LUNES/17-19/CENTRO DE CÓMPUTO 2,JUEVES/17-19/CENTRO DE CÓMPUTO 2, ,CHRISTIAN FELIPE RODRÍGUEZ ROBLES,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
PRINCIPIOS DE OPERACIÓN DE EQUIPOS MÉDICOS,A,LUNES/17-19/F6,"
MIÉRCOLES/17-19/AUDITORIO DEL EDIF. B
",VIERNES/17-19/F6,ÉDGAR GONZÁLEZ CAMPOS,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
PROBABILIDAD Y ESTADÍSTICA,A,MARTES/8-10/AUDITORIO G,JUEVES/8-10/AUDITORIO G, ,FRANCISCO MIGUEL VARGAS LUNA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
PROBABILIDAD Y ESTADÍSTICA,B,MIÉRCOLES/10-12/F6,VIERNES/10-12/F6, ,MARÍA GUADALUPE LEÓN VERDÍN,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
PROBABILIDAD Y ESTADÍSTICA,C,MARTES/8-10/F6,VIERNES/8-10/F6, ,LENIN FRANCISCO ESCAMILLA HERRERA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
PROBABILIDAD Y ESTADÍSTICA,D,LUNES/12-14/F6,MIÉRCOLES12-14/C2, ,MARÍA GUADALUPE LEÓN VERDÍN,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
PROBLEMAS SOCIALES Y DEBATES CONTEMPORÁNEOS,A,MARTES/16-19/ AUDITORIO EDIF. G, , ,FERNANDO AGUAS ÁNGEL,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
PROCESAMIENTO DIGITAL DE IMÁGENES MÉDICAS,A,MARTES/17-19/CENTRO DE CÓMPUTO 1,JUEVES/17-19/CENTRO DE CÓMPUTO 1,VIERNES/17-19/CENTRO DE CÓMPUTO 1,ALAN LÓPEZ MARTÍNEZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
PROCESOS DE SEPARACIÓN,A,MARTES/10-12/CENTRO DE CÓMPUTO 2,JUEVES/10-12/ CENTRO DE CÓMPUTO 2, ,JULIO CÉSAR ARMAS PÉREZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
PROGRAMACIÓN BÁSICA,A,LUNES/8-10/CENTRO DE CÓMPUTO 1,MIÉRCOLES/8-10/CENTRO DE CÓMPUTO 1, ,IGNACIO RAÚL ROSAS ROMÁN,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
PROGRAMACIÓN BÁSICA,B,MARTES/12-14/CENTRO DE CÓMPUTO 1,JUEVES/12-14/CENTRO DE CÓMPUTO 1, ,ARTURO VEGA GONZÁLEZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
PROGRAMACIÓN BÁSICA,C,LUNES/12-14/ CENTRO DE CÓMPUTO 2,VIERNES/12-14/CENTRO DE CÓMPUTO 2, ,LUIS CARLOS PADIERNA GARCÍA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
PROGRAMACIÓN ORIENTADA A OBJETOS Y EVENTOS,A,MARTES/12-14/CENTRO DE CÓMPUTO 2,MIÉRCOLES/12-14/ CENTRO DE CÓMPUTO 2,JUEVES/12-14/CENTRO DE CÓMPUTO 2,LUIS CARLOS PADIERNA GARCÍA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
PROGRAMACIÓN ORIENTADA A OBJETOS Y EVENTOS,B,LUNES/10-12/CENTRO DE CÓMPUTO 1,MARTES/15-17/CENTRO DE CÓMPUTO 1,JUEVES/15-17/CENTRO DE CÓMPUTO 1,ORLANDO MIGUEL MEDINA CÁZARES,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
PROGRAMACIÓN ORIENTADA A OBJETOS Y EVENTOS,C,MARTES/8-10/CENTRO DE CÓMPUTO 1,JUEVES/8-10/CENTRO DE CÓMPUTO 1,VIERNES/8-10/CENTRO DE CÓMPUTO 1,DELIA IRAZÚ HERNÁNDEZ FARÍAS,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
PROGRAMACIÓN ORIENTADA A OBJETOS Y EVENTOS,D,MIÉRCOLES/12-14/CENTRO DE CÓMPUTO 1,JUEVES/10-12/CENTRO DE CÓMPUTO 1,VIERNES/10-12/CENTRO DE CÓMPUTO 2,DELIA IRAZÚ HERNÁNDEZ FARÍAS,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
PROPIEDADES FISICOQUÍMICAS,A-I,JUEVES/12-14/C3,VIERNES/12-14/LAB. ELECTRÓNICA EDIF. D (aula),MARTES/15-17/LAB DE QUÍMICA EDIF. F,JOSÉ JORGE DELGADO GARCÍA,This email address is being protected from spambots. You need JavaScript enabled to view it.,ANGÉLICA JACQUELINE CHÁVEZ MARTÍNEZ,This email address is being protected from spambots. You need JavaScript enabled to view it.
QUÍMICA ANALÍTICA,A-I,MARTES/10-13/LAB. DE QUÍMICA EDIF. F,MIÉRCOLES/10-11/F8,VIERNES/10-12/F8,JOSÉ ANTONIO REYES AGUILERA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
QUÍMICA GENERAL,A-I,MARTES/16-17/F1,JUEVES/15-17/F1,MARTES/13-16/LAB. DE QUÍMICA EDIF. G,MA. CONCEPCIÒN GARCÌA CASTAÑEDA,This email address is being protected from spambots. You need JavaScript enabled to view it.,ARGELIA ROSILLO DE LA TORRE,This email address is being protected from spambots. You need JavaScript enabled to view it.
QUÍMICA GENERAL,B-IV,LUNES/10-12/ AUDITORIO EDIF. G,JUEVES/9-10/C2,MARTES/10-13/LAB. DE QUÍMICA EDIF. G,LEONARDO ÁLVAREZ VALTIERRA,This email address is being protected from spambots. You need JavaScript enabled to view it.,LAURA EDITH CASTELLANO TORRES,This email address is being protected from spambots. You need JavaScript enabled to view it.
QUÍMICA GENERAL,C-II,MIÉRCOLES/11-12/AUDITORIO G,VIERNES/10-12/AUDITORIO G,MIÉRCOLES/8-11/LAB. DE QUÍMICA EDIF. G,SUSANA FIGUEROA GERSTENMAIER,This email address is being protected from spambots. You need JavaScript enabled to view it.,JUAN FRANCISCO RAYAS ROJAS,This email address is being protected from spambots. You need JavaScript enabled to view it.
QUÍMICA GENERAL,C-III,MIÉRCOLES/11-12/AUDITORIO G,VIERNES/10-12/AUDITORIO G,MIÉRCOLES/12-15/LAB. DE QUÍMICA EDIF. G,SUSANA FIGUEROA GERSTENMAIER,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
QUÍMICA INORGÁNICA DESCRIPTIVA,A-I,JUEVES/9-10/ G1,VIERNES/8-10/F1,JUEVES/10-13/LAB. DE QUÍMICA EDIF. G,MARÍA DE LOS ÁNGELES MENDOZA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
QUÍMICA INORGÁNICA DESCRIPTIVA,B-II,MARTES/10-12/F8,VIERNES/11-12/F7,LUNES/11-14/LAB. DE QUÍMICA EDIF. G,SVETLANA KASHINA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
QUÍMICA ORGÁNICA AVANZADA,A-I,LUNES/12-15/F1,JUEVES/8-11/LAB. DE QUÍMICA EDIF. F, ,ANA LILIA GONZÁLEZ YEBRA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
QUÍMICA ORGÁNICA AVANZADA,A-II,LUNES/12-15/F1,MIÉRCOLES/11-14/LAB. DE QUÍMICA EDIF. F, ,ANA LILIA GONZÁLEZ YEBRA,This email address is being protected from spambots. You need JavaScript enabled to view it.,LEONARDO ÁLVAREZ VALTIERRA,This email address is being protected from spambots. You need JavaScript enabled to view it.
QUÍMICA ORGÁNICA BÁSICA,A-I,MARTES/8-10/F2,JUEVES/8-9/G1,LUNES/8-11/LAB. DE QUIMICA EDIF. F,BIRZABITH MENDOZA NOVELO,This email address is being protected from spambots. You need JavaScript enabled to view it. ,ARGELIA ROSILLO DE LA TORRE,This email address is being protected from spambots. You need JavaScript enabled to view it.
QUÍMICA ORGÁNICA BÁSICA,A-III,MARTES/8-10/F2,JUEVES/8-9/G1,VIERNES/8-11/LAB. DE QUÍMICA EDIF. F,BIRZABITH MENDOZA NOVELO,This email address is being protected from spambots. You need JavaScript enabled to view it. ,PEDRO ULISES MUÑOZ GONZÁLEZ,This email address is being protected from spambots. You need JavaScript enabled to view it.
QUÍMICA ORGÁNICA BÁSICA,B-V,MIÉRCOLES/10-12/F7,VIERNES/10-11/F7,JUEVES/12-15/LAB. DE QUIMICA EDIF. F,MARÍA DE LOS ÁNGELES MENDOZA,This email address is being protected from spambots. You need JavaScript enabled to view it.,LAURA EDITH CASTELLANO TORRES,This email address is being protected from spambots. You need JavaScript enabled to view it.
QUÍMICA ORGÁNICA BÁSICA,B-VI,MIÉRCOLES/10-12/F7,VIERNES/10-11/F7,VIERNES/12-15/LAB. DE QUIMICA EDIF. F,MARÍA DE LOS ÁNGELES MENDOZA,This email address is being protected from spambots. You need JavaScript enabled to view it.,MA. ARACELI RUIZ ÁVALOS,This email address is being protected from spambots. You need JavaScript enabled to view it.
QUÍMICA ORGÁNICA BÁSICA,C-II,MIÉRCOLES/11-12/F8,VIERNES/12-14/F8,MIÉRCOLES/8-11/LAB. DE QUÍMICA EDIF. F,PEDRO ULISES MUÑOZ GONZÁLEZ,This email address is being protected from spambots. You need JavaScript enabled to view it.,GUSTAVO BASURTO ISLAS,This email address is being protected from spambots. You need JavaScript enabled to view it.
QUÍMICA ORGÁNICA BÁSICA,C-IV,MIÉRCOLES/11-12/F8,VIERNES/12-14/F8,LUNES/12-15/LAB. DE QUIMICA EDIF. F,PEDRO ULISES MUÑOZ GONZÁLEZ,This email address is being protected from spambots. You need JavaScript enabled to view it.,BIRZABITH MENDOZA NOVELO,"This email address is being protected from spambots. You need JavaScript enabled to view it.This email address is being protected from spambots. You need JavaScript enabled to view it.""> "
RADIOLOGÍA,A,LUNES/10-14/AUDITORIO EDIF. B,MARTES/15-17/C2, ,KENIA MADRAZO DE LA ROSA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
SEGURIDAD E HIGIENE LABORAL,A,JUEVES15-18/AUDITORIO DE EDIF. G, , ,ÉDGAR VÁZQUEZ NÚÑEZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
SEGURIDAD EN EQUIPO MÉDICO,A,SÁBADO/8-14/F7, , ,JOSÉ GONZÁLEZ CRUZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
SIMULACIÓN MOLECULAR Y QUÍMICA COMPUTACIONAL,A,LUNES/10-12/LAB. DE ESPECTROSCOPÍA,MIÉRCOLES/11-13/LAB. DE ESPECTROSCOPÍA, ,JOSUÉ ADÍN MINGUELA GALLARDO,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
SÍNTESIS DE POLÍMEROS,A,LUNES/18-20/VIRTUAL AL 12 DE MARZO,JUEVES/18-20/VIRTUAL AL 12 DE MARZO, ,RAMÓN OCTAVIO SIERRA LUNA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
SISTEMAS LINEALES,A,MARTES/10-12/F5,VIERNES/10-12/F9, ,EDUARDO MONTES RAMÍREZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
SISTEMAS LINEALES,B,MARTES/12-14/G1,JUEVES/12-14/F9, ,ARTURO GONZÁLEZ VEGA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
SISTEMAS LINEALES,C,MARTES/17-19/F6,JUEVES/17-19/F6, ,HUETZIN AARÓN PÉREZ OLIVAS,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
TALLER DE HERRAMIENTAS PARA EL APRENDIZAJE,A,VIERNES/12-15/CENTRO DE CÓMPUTO 1, , ,MA. DEL CARMEN VARELA CHÁVEZ ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
TÉCNICAS FÍSICAS PARA DIAGNÓSTICO MÉDICO Y TERAPIA,A,LUNES/8-10/LAB. DE BIOLOGÍA EDIF. G,LUNES/17-19/LAB. DE BIOLOGÍA EDIF. G, ,MARÍA MAGDALENA ROBLES RAMÍREZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
TEORÍA CLÁSICA DE CAMPOS,A,MARTES/17-19/F7,JUEVES/17-19/F1, ,SAGRARIO SANTILLÁN FLORES,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
TEORÍA DE GRUPOS,A,MARTES/17-19/C2,JUEVES/17-19/C2, ,CARLOS ALBERTO VAQUERA ARAUJO,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
TERMODINÁMICA,A-I,MARTES/13-15/F5,JUEVES/12-14/F5,VIERNES/12-14/LA. DE QUÍMICA EDIF. G,MA. ARACELI RUIZ ÁVALOS,This email address is being protected from spambots. You need JavaScript enabled to view it.,JAIME MARTÍNEZ RIVERA,This email address is being protected from spambots. You need JavaScript enabled to view it.
TERMODINÁMICA,B-II,MARTES/8-10/ C3,VIERNES/8-10/C3,JUEVES/8-10/LAB. DE QUÍMICA EDIF. G,RAMÓN CASTAÑEDA PRIEGO,This email address is being protected from spambots. You need JavaScript enabled to view it.,JUAN FRANCISCO RAYAS ROJAS,This email address is being protected from spambots. You need JavaScript enabled to view it.
TERMODINÁMICA QUÍMICA,A,LUNES/10-12/F2,MIÉRCOLES/8-10/CENTRO DE CÓMPUTO 2,VIERNES/8-10/CENTRO DE CÓMPUTO 2,SUSANA FIGUEROA GERSTENMAIER,This email address is being protected from spambots. You need JavaScript enabled to view it.,JULIO CÉSAR ARMAS PÉREZ,This email address is being protected from spambots. You need JavaScript enabled to view it.
TÓPICOS SELECTOS DE INGENIERÍA MOLECULAR (ESPECTROSCOPÍA),A,MARTES/13-15/LAB. DE ESPECTROSCOPÍA,VIERNES/12-14/LAB. DE ESPECTROSCOPÍA, ,SERGIO AUGUSTO ROMERO SERVÍN,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
VARIABLE COMPLEJA,A,LUNES/8-10/F9,MIÉRCOLES/8-10/F9, ,JOSÉ TORRES ARENAS,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
VARIABLE COMPLEJA,B,MIÉRCOLES/10-12/F5,VIERNES/12-14/F5, ,JOSÉ TORRES ARENAS,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
VARIABLE COMPLEJA,C,MARTES/12-14/C3,MIÉRCOLES/10-12/C3, ,OSCAR MIGUEL SABIDO MORENO,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
