UNIDAD DE APRENDIZAJE,GRUPO,DÍA/HORA/AULA,DÍA/HORA/AULA,DÍA/HORA/AULA,PROFESOR,CORREO PROFESOR,PROFESOR2,CORREO PROFESOR 2
BIOMECÁNICA,A,"LUNES/12-16/ANTIGUO LAB. DE BIOMATERIALES, EDIF. C","MIÉRCOLES/12-14/ANTIGUO LAB. DE BIOMATERIALES, EDIF. C", ,ARGELIA ROSILLO DE LA TORRE,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
BIOMECÁNICA,B,"MIÉRCOLES/8-12/ANTIGUO LAB. DE BIOMATERIALES, EDIF. C","MIÉRCOLES/12-14/ANTIGUO LAB. DE BIOMATERIALES, EDIF. C", ,ARTURO VEGA GONZÁLEZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
BIOQUÍMICA,A-I,MIÉRCOLES/10-12/C2,VIERNES/8-9/LAB. DE BIOLOGÍA EDIF. G,VIERNES/9-12/LAB. DE BIOLOGÍA EDIF. G,LAURA EDITH CASTELLANO TORRES,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
BIOSEGURIDAD,A,MARTES/8-10/LAB. DE BIOLOGÍA EDIF. G,JUEVES/8-10/LAB DE BIOLOGÍA EDIF. G, ,ARGELIA ROSILLO DE LA TORRE,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
CÁLCULO DE VARIAS VARIABLES,A,MARTES/8-10/F8,JUEVES/8-10/F8, ,NANA GERALDINE CABO BIZET,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
CÁLCULO DE VARIAS VARIABLES,B,LUNES/15-17/F8,MIÉRCOLES/15-17/F8, ,MANUEL MARTÍNEZ JIMÉNEZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
CÁLCULO DE VARIAS VARIABLES,C,MARTES/15-17/F5,JUEVES/15-17/F5, ,LORENA BERENICE VELÁZQUEZ IBARRA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
CÁLCULO DIFERENCIAL,A,LUNES/10-12/F1,MIÉRCOLES/10-12/F1, ,CARSTEN HOLTFORT,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
CÁLCULO DIFERENCIAL,B,MARTES/10-12/F2,JUEVES/10-12/F2, ,OCTAVIO JOSÉ OBREGÓN DÍAZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
CÁLCULO DIFERENCIAL,C,MARTES/12-14/F8,JUEVES/12-14/F8, ,CARSTEN HOLTFORT,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
CÁLCULO DIFERENCIAL,D,MARTES/15-17/G1,JUEVES/15-17/G1, ,EDUARDO MARTÍNEZ RAMÍREZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
CÁLCULO DIFERENCIAL,E,LUNES/12-14/G1,JUEVES/12-14/G1, ,AZARAEL ADONAY YEBRA PÉREZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
CÁLCULO INTEGRAL,A,MARTES/10-12/F7,JUEVES/10-12/F7, ,PABLO DANIEL YÉPIZ GRACIANO,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
CÁLCULO INTEGRAL,B,MIÉRCOLES/10-12/G1,VIERNES/10-12/G1, ,ÉTNA DAFNE YÁÑEZ ROLDÁN,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
CÁLCULO INTEGRAL,C,LUNES/12-14/F2,MIÉRCOLES/12-14/F2, ,MODESTO ANTONIO SOSA AQUINO,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
CÁLCULO INTEGRAL,D,MARTES/12-14/F1,JUEVES/12-14/F1, ,LENIN FRANCISCO ESCAMILLA HERRERA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
CÁLCULO INTEGRAL,E,LUNES/15-17/F2,MIÉRCOLES/15-17/F2, ,EDUARDO MARTÍNEZ RAMÍREZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
CÁLCULO INTEGRAL,F,MARTES/15-17F2,JUEVES/15-17/F2, ,LUIS ARTURO UREÑA LÓPEZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
CÁLCULO INTEGRAL,G,MIÉRCOLES/12-14/F7,VIERNES/12-14/F7, ,CARSTEN HOLTFORT,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
CARACTERIZACIÓN DE NANOMATERIALES,A,LUNES/15-19/SEDE SAN CARLOS, , ,CHRISTIAN GÓMEZ SOLÍS,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
CIENCIA DE MATERIALES,A,MIÉRCOLES/17-19/F5,VIERNES/17-19/F5, ,JULIO CÉSAR ARMAS PÉREZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
CINÉTICA QUÍMICA Y CATÁLISIS,A-I,LUNES/12-14/F9,MIÉRCOLES/11-12/LAB. DE QUÍMICA EDIF. G,VIERNES/9-12/LAB. DE QUÍMICA EDIF. G,JOSÉ JORGE DELGADO GARCÍA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
COMUNICACIÓN ORAL Y ESCRITA,A,LUNES/15-18/SALA DE JUNTAS EDIF. A, , ,MA. DEL CARMEN VARELA CHÁVEZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
COSMOLOGÍA,A,MARTES/17-19/ F1,VIERNES/17-19/AUDITORIO EDIF. G, ,ALMA XÓCHITL GONZÁLEZ MORALES,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
DEBATES ÉTICOS CONTEMPORÁNEOS Y DERECHOS HUMANOS,A,MIÉRCOLES/16-19/AUDITORIO EDIF. G, , ,FERNANDO AGUAS ÁNGEL,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
DEBATES ÉTICOS CONTEMPORÁNEOS Y DERECHOS HUMANOS,B,VIERNES/10-12/JARDÍN FUERA CAFETERÍA,VIERNES/14-15/C3, ,GUSTAVO NIZ QUEVEDO,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
DESARROLLO HISTÓRICO DE LA FÍSICA MODERNA,A,MIÉRCOLES/10-12/AUDITORIO DEL EDIF. B,VIERNES/10-11/AUDITORIO DEL EDIFICIO B, ,JUAN BARRANCO MONARCA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
DISEÑO DE PROCESOS,A,"MARTES/8-10/ LAB. DE QUÍMICA, EDIF. F",SÁBADO/11-13/ CENTRO DE CÓMPUTO 1, ,JOSÉ DE JESÚS IBARRA SÁNCHEZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
ECUACIONES DIFERENCIALES ORDINARIAS,A,LUNES/10-12/F8,JUEVES/10-12/F8, ,FRANCISCO MIGUEL VARGAS LUNA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
ECUACIONES DIFERENCIALES ORDINARIAS,B,LUNES/12-14/F5,MIÉRCOLES/12-14/F5, ,FRANCISCO MIGUEL VARGAS LUNA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
ECUACIONES DIFERENCIALES ORDINARIAS,C,MARTES/17-19/F5,JUEVES/17-19/F5, ,LUIS ARTURO UREÑA LÓPEZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
ECUACIONES DIFERENCIALES PARCIALES,A,MIÉRCOLES/8-10/F2,VIERNES/10-12/C2, ,AZARAEL ADONAY YEBRA PÉREZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
